city,lon,lat,year,sample_ID
Prasaeur,105.321044847548,12.1758541159538,2017,XXXX
Phum Ti Prammuoy,105.458875924966,11.9908010986638,2017,XXXX
Boeng Trav,105.162921481121,11.9617928801829,2017,XXXX
Pou,105.086174632167,11.7927685569895,2017,XXXX
Chantum,105.637038940725,11.8496181020663,2017,XXXX
Meanok Kaeut,104.626757723682,11.8730042567919,2017,XXXX
Khlouk,104.513890658558,11.1995803728805,2017,XXXX
Trapenang Antong,104.64543862611,11.6683315419552,2017,XXXX
Oknha Tep,104.663398178151,11.473004180944,2017,XXXX
Tranh Veaeng,104.424963703635,11.749960208524,2017,XXXX
Samraong,105.089766622185,12.4073056501855,2017,XXXX
Toap Sdach,104.616848849709,10.7069310596011,2017,XXXX
Trapeang Lbaeuk,104.356717578271,10.782686403217,2017,XXXX
Doun Ov,104.440722242626,10.924763055832,2017,XXXX
Ta Kaev Ti Pir,105.070243563884,11.663703334647,2017,XXXX
Phsar Daek Kraom,104.770663800872,11.8071225327126,2017,XXXX
Phum Prey Tear,104.840604879767,11.5154881051519,2017,XXXX
Tean Phleung,105.629594299416,11.5537906374614,2017,XXXX
Chong Ampil,105.424439899455,11.6637965486434,2017,XXXX
Prey Chek,105.649139968055,11.3092735104284,2017,XXXX
Prey Sniet,105.253466475246,11.6226149074733,2017,XXXX
Angk Svay,105.916730018306,11.021003803905,2017,XXXX
Kampong Luong,104.977555291688,10.9934926102461,2017,XXXX
Buor,104.756648192787,10.6226717146121,2017,XXXX
Prey Chambak,104.856114500024,11.1986750388156,2017,XXXX
Phnom Penh,104.91750189559,11.5591648199252,2017,XXXX
Phnom Penh 3,104.89805643138,11.6147227328659,2017,XXXX
Boeng Trav,105.162921481121,11.9617928801829,2017,XXXX
Prey Khmaer,104.688413328881,11.3524712757449,2017,XXXX
Prey Chek,105.649139968055,11.3092735104284,2017,XXXX
Pra Boeng,105.051147611017,12.0914088426464,2017,XXXX
Prey Andoung,105.54451309404,11.1954643239765,2017,XXXX
Thloak,105.500422134989,11.2981855466201,2017,XXXX
Kakruos,105.86265387825,10.9651587749092,2016,XXXX
Prey Lieb,104.785169005049,10.5880442688086,2015,XXXX
Bang Kokir,103.76074379732,10.5824440136578,2015,XXXX
Andoung Tuek,103.473065133659,11.1862647749792,2013,XXXX
Kampong Sambuor,103.219713226862,13.1271597126024,2014,XXXX
Mondol Bei,103.868265125168,13.3693751171259,2013,XXXX
Tumnob,105.168713915011,12.815656573305,2016,XXXX
Thnal,106.326142283467,12.2905070818665,2014,XXXX
Chhuk Kieb,104.463220577136,11.1539775445892,2012,XXXX
Boeng,104.420299710781,10.795265101462,2012,XXXX
Traeuy Trak,104.680600415004,11.2738642340778,2012,XXXX
Doun Tao,105.106931107614,12.1948933132659,2012,XXXX
Klaeng Poar,105.237062894505,12.015954789318,2012,XXXX
Kampong Popil,105.141252446793,11.653259015854,2012,XXXX
Kok Ta Rie,104.788431542415,11.2110790862597,2012,XXXX
Preaek Pok,104.454322062962,10.6757682430587,2012,XXXX
Ba Baong,105.328460183173,11.3855165373081,2012,XXXX
Kbal Damrei,105.439587930347,11.2909567425241,2012,XXXX
Trapeang Khnar,104.670657526029,10.9820283413298,2012,XXXX
Ta Teaen,104.483149437217,10.8968383406649,2012,XXXX
Veal,105.05973815005,11.833733354663,2012,XXXX
Prey Khley,104.458291840759,11.0155476656755,2012,XXXX
Reaksmei Rumdaoh,105.138266962973,12.2432244352537,2012,XXXX
Svay Pear,104.923801778356,11.0777375871838,2012,XXXX
Ta Kay,105.166647723467,11.8970218840455,2012,XXXX
Veal Ampil,105.131882967047,12.3478570753281,2012,XXXX
Krang Ta Char,104.531154341158,11.7184124249657,2012,XXXX
Sala Lekh Pram,104.723187438708,11.9338412144484,2012,XXXX
Kampong Reab,105.016850685696,11.1335569043055,2012,XXXX
Daeum Chrey,104.990571132793,11.8451614163288,2012,XXXX
Dambouk Khpos,104.239912132346,11.205981256314,2012,XXXX
Prey Totueng,104.787942660628,11.4026256598909,2012,XXXX
Kaev Chamraeun,104.874127831527,11.1663874863508,2012,XXXX
Kdei Ta Hok,104.941510674562,11.1200581461341,2012,XXXX
Thmei,104.524361224011,11.7198843156862,2012,XXXX
Khloy Kaeut,105.138146188959,12.2408280466422,2012,XXXX
Noreay,104.65252998851,11.1411612344151,2012,XXXX
Svay Damnak,105.044209924367,11.8098161467508,2012,XXXX
Prey Sralet,105.218272929474,11.7233524803802,2012,XXXX
Angkor Phdiek,104.756159304254,11.123709158709,2012,XXXX
Samraong,104.895556529535,11.1501076626455,2012,XXXX
Trapeang Reang,104.389951491608,10.780700733987,2012,XXXX
Prey Ta Phem,104.661554371835,11.1379700452815,2012,XXXX
Prey Khcheay,104.441020849578,10.9607482375626,2013,XXXX
Thma Da,105.187114634029,12.187181908254,2013,XXXX
Lvea Sa Leu,105.184318872054,11.4581365336032,2013,XXXX
Phum Damnak Thum,104.897387450438,11.5373812677231,2013,XXXX
Prey Kabbas Ka,104.948721243159,11.0996020754833,2013,XXXX
Trapeang Sya,104.598641363138,11.2296679250205,2013,XXXX
Boeng Kdol,104.847364491039,11.715527144667,2013,XXXX
Chakto Tis,104.774523283292,11.8134198573935,2013,XXXX
Sampong Chey,105.129835033526,12.1854423347737,2013,XXXX
Roka Ar,105.094309372854,11.8520912664661,2013,XXXX
Chong Doung,105.114288203131,12.4562918750064,2013,XXXX
Damnak Pring Lech,105.420348898943,11.8399212256578,2013,XXXX
Preaek Thaong,104.956039077215,11.6284746521627,2013,XXXX
Phsar Slab Leaeng,104.585356546709,11.2115805176073,2013,XXXX
Tras,105.139288612322,12.4884101126768,2013,XXXX
Stueng Chveng,105.006088610277,11.918097034725,2013,XXXX
Krang Doung,104.539897734938,11.7416588234192,2013,XXXX
Angk Roung,104.698247709787,11.2467514936048,2013,XXXX
Bat Doeng,104.701300386274,11.6813181591346,2013,XXXX
Preaek Ta Tep,104.958772620835,11.6301933437933,2013,XXXX
Svay Antor Ti Muoy,105.422407366143,11.5874913553508,2013,XXXX
Thum Thmei,104.436042921783,10.7110336645016,2013,XXXX
Angk Sangkae,104.945650934762,11.1144155088076,2013,XXXX
Thmei,104.439866649802,10.8978656609911,2013,XXXX
Speam Thmei,104.980215319973,11.8405306171627,2013,XXXX
Ampil Rung,104.749645427095,11.7734270211288,2013,XXXX
Sangkaeub,104.896479652139,11.8823474612279,2013,XXXX
Kandal,105.473362657822,11.3362851790827,2013,XXXX
Boeng,105.635573928013,11.3361524907562,2013,XXXX
Lvea Kraom,105.016682742276,11.8599923909203,2013,XXXX
Thma Sa,104.759803438987,11.2909140139119,2013,XXXX
Varint Ti Bei,105.133496995627,11.8945073522558,2013,XXXX
Ou Kandaol Tboung,105.441835005408,11.5001299657879,2013,XXXX
Kaoh Roka,105.005231439673,11.7544550710571,2014,XXXX
Ta Mau,105.473267701324,11.3286978185302,2014,XXXX
Thmei,105.142141303189,12.024302869554,2014,XXXX
Sramaoch Haer,104.824207768595,11.2179575294598,2014,XXXX
Ta Pov,104.802738039725,11.8831657310695,2014,XXXX
Keatha Vong Kraom,104.59809548235,10.7189449718285,2014,XXXX
Ba Reach,105.480735774568,11.3667679479711,2014,XXXX
Thmei,104.941344808845,11.7922329493165,2014,XXXX
Roung Damrei,105.386371692566,11.2572709219306,2014,XXXX
Chheu Teal Chrum,104.530962854915,10.8364212126802,2014,XXXX
Boeng,105.413508719272,11.5864280429468,2014,XXXX
Pou Roung,105.580565548233,11.328298526091,2014,XXXX
Chong,104.91670757395,11.8839729266742,2014,XXXX
Skon,105.078621803518,12.0537821675092,2014,XXXX
Peam Ta Aek,105.028953236105,11.5459170906478,2014,XXXX
Ta Poy,104.915393409163,11.8875356558698,2014,XXXX
Khnach Khang Cheung,104.706940506412,11.1388317027333,2014,XXXX
Snay Poal,105.221389580772,11.6612211004964,2014,XXXX
Sdok,104.59039093898,11.7044951577024,2014,XXXX
Reay Pay Leu,105.092474038394,11.9363315514479,2014,XXXX
Pnov,105.096806760004,12.3627387192812,2014,XXXX
Trapeang Ta Sek,104.501917614594,10.7690174113134,2014,XXXX
Prey Tbaeng,105.511481576715,11.6042766637204,2014,XXXX
Trapeang Traeunh,104.393574780562,11.7090024066936,2014,XXXX
Khnar,104.554795083495,11.1896237764379,2014,XXXX
Trapeang Chak,104.645682454911,11.2369173110933,2014,XXXX
Svay Teab,105.442429692476,11.7204168719254,2014,XXXX
Sameakki,104.972721452978,11.0013333689738,2014,XXXX
Trach Koh,104.705663611629,11.224429892427,2014,XXXX
Tang Thlaeung,104.940246993862,12.0274525979341,2014,XXXX
Trapeang Teab,104.65141717526,11.2522531559776,2014,XXXX
Sameakki,104.978924291398,11.7951864007816,2014,XXXX
Khsach Prachheh Leu,105.614500323457,12.2930123116117,2014,XXXX
Srah Ta Oem,105.653581958747,11.2840872424048,2015,XXXX
Svay Ming,104.819636170185,11.4235920741325,2015,XXXX
Preaek Ta Sa,105.286295307114,11.2357876449419,2015,XXXX
Varint Ti Muoy,105.13509000154,11.903450545177,2015,XXXX
Chi Aok,105.093462295924,12.3735645207112,2015,XXXX
Ruessei Chuor,105.451987483634,11.3042230968575,2015,XXXX
Chek,105.517608269954,11.4486207482872,2015,XXXX
Thkov,104.825898690387,11.1167395589306,2015,XXXX
Cheach Thum,105.856334310683,11.9210818667589,2015,XXXX
Boeng Veaeng,105.443031145452,11.5144891447523,2015,XXXX
Snae Rean,105.451995898418,11.3446115757029,2015,XXXX
Prey Khmau,104.475788948468,10.951069944357,2015,XXXX
Ruessei Thlok,105.378783747754,11.0577308289795,2015,XXXX
Tuk Meas,104.562043837287,10.6628420318554,2015,XXXX
Dei Leu,105.669065651994,12.2994854606809,2015,XXXX
Kang Ta Noeng Ti Pram,105.065783159964,11.8512040247921,2015,XXXX
Trapeang Pnov,104.763530269248,11.9360393720512,2015,XXXX
Knaor Dambang,105.017767109214,12.0156116059715,2015,XXXX
Khley,104.450902186969,10.8977137921641,2015,XXXX
Prey Ba Krong,104.504264832603,11.1720178122511,2015,XXXX
Trapeang Dar,104.633693833318,11.256138728651,2015,XXXX
Preaek Chik,105.440148527948,11.963719768713,2015,XXXX
Trapeang,103.751353128675,11.1104648623846,2015,XXXX
Pou Poat,105.524295534045,11.3759179478146,2015,XXXX
Thmei,105.431253716703,11.4579941659299,2015,XXXX
Krang Trea,104.859926979922,11.4210728017205,2015,XXXX
Krang Thum,104.594778218128,11.4488612706622,2015,XXXX
Popeal Khae,105.10025766356,11.4912954907086,2015,XXXX
Sanlung,105.513358471832,11.3435707080265,2015,XXXX
Poun,104.637322634827,10.7003172406831,2015,XXXX
Krouch,105.14392349146,12.2297833246655,2015,XXXX
Pou Doh,104.393343704169,10.794987329078,2015,XXXX
Chambak Chrum,105.626801400983,11.3307000397135,2015,XXXX
Tram Sasar,104.566117576339,11.1948586053272,2016,XXXX
Ta Mau,105.492897694991,11.3293168645479,2016,XXXX
Prey Kabbas Ko,104.952082523586,11.0953610184503,2016,XXXX
Dot Kambaor,104.762863591695,11.4022718675942,2016,XXXX
Preaek Ta Meak,105.010361600927,11.7458726055807,2016,XXXX
Prey Krala Khang Lech,104.570282356519,10.6691028275337,2016,XXXX
Trapeang Prei,104.51026010853,11.2124253644496,2016,XXXX
Trapeang Tuk,104.618913641357,11.1460131115298,2016,XXXX
Pong Tuek,105.634276335711,11.2794989680407,2016,XXXX
Borei Kammeakkar,104.761516770871,11.5108941423881,2016,XXXX
Srangae Cheung,105.160605664678,12.0527612663598,2016,XXXX
Snao Touch,104.399439660702,10.7606784875076,2016,XXXX
Prey Preah Andoung,105.588957520377,11.3898761519057,2016,XXXX
Prey Phdau Tboung,104.871640349638,11.1369395107142,2016,XXXX
Prey Ta Mean,104.676808976048,11.3050699346149,2016,XXXX
Tuol Khlong,104.490962758221,11.1001984170477,2016,XXXX
Veang,105.546103096387,11.3246654503027,2016,XXXX
Khnach Khang Tboung,104.70364388137,11.1295133399734,2016,XXXX
Ta Ei,104.955934866699,11.0519505988277,2016,XXXX
Thnal Totueng,104.667040065645,11.4947943192237,2016,XXXX
Trapeang Thma,104.296393867268,10.8031382259172,2016,XXXX
Prey Ba Srei,105.356460283662,11.1387450561154,2016,XXXX
Mream Khang Tboung,105.672333736296,11.3495002846686,2016,XXXX
Prey Dang Tuek,104.711542052549,11.4011588021019,2016,XXXX
Prey Rumduol Khang Cheung,104.524333113773,11.1318695335634,2016,XXXX
Prey Rumdeng,105.648191717067,11.2950504985193,2016,XXXX
Krasang Chi Meae,104.72372570811,11.3329087617714,2016,XXXX
Trapeang Skon,105.533457713757,11.3248965370897,2016,XXXX
Ballangk Khang Lech,104.906310299888,12.6976754282025,2016,XXXX
Pratheat,105.064177002858,11.0398642525816,2016,XXXX
Khnar Ta Nong,104.559277636715,11.2054296537807,2016,XXXX
Prasat,105.543023250711,11.1479161784892,2016,XXXX
Prohut,105.240991473918,11.7194545911191,2016,XXXX
